rank,previous rank,name,location code,location,size,focus,research,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,sus score,sus rank,overall score
36,47,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51,53.3,159,64.2,212,92.9,64,100.0,58,87.5,137,74.2,419,89.0,82,86.7,114=,"81,3"
37,42,Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,"81,2"
38,34,University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81
39,50,Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54,87.8,55,79.7,140,80.7,107,88.4,201,35.1,390,67.2,519,64.4,183,82.7,142,"80,3"
40,40,King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44,85.7,64,64.3,210,53.6,238,99.1,103,99.5,47,98.6,17,59.8,205,96.2,44=,"80,2"
40,43,The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50,74.0,89,21.2,653,90.2,75,100.0,54,100.0,23,96.7,47,56.7,214,96.7,36,"80,2"
42,29,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100.0,8,99.8,8,35.4,448,74.0,137,42.2,407,22.3,515,95.5,69,94.7,53,67.1,232=,"79,8"
43,38,New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32,98.8,14,90.5,83,28.6,453,30.2,492,98.1,68,92.6,126,98.4,22,95.4,55=,"79,6"
44,33,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299,39.2,359,95.8,63,94.5,55,62.2,254=,79
45,51,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84.0,57,86.3,62,58.6,251,99.6,17,23.1,558,19.6,553,73.7,424,73.5,144,80.3,154,"77,8"
46,38,Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189,99.6,10,95.9,55,86.1,92,99.1,104,98.0,71,89.6,173,97.7,31,54.8,289=,"77,5"
47,60,The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68,50.3,179,56.7,261,99.7,16,100.0,22,95.4,94,46.7,701+,65.4,180,77.6,170=,"77,1"
47,44,Zhejiang University,China (Mainland),Asia,XL,FC,VH,A,75.3,79,95.4,32,54.7,277,99.5,19,95.0,149,15.9,608,91.8,138,55.5,224,30.7,440=,"77,1"
49,47,Delft University of Technology,Netherlands,Europe,L,CO,VH,A,74.4,82,83.0,66,39.4,396,79.7,110,100.0,69,91.4,117,93.7,105,54.8,227,99.1,14,77
50,46,Kyoto University,Japan,Asia,L,FC,VH,A,98.8,18,99.0,13,94.2,68,39.3,357,15.9,653,19.0,566,85.7,236,72.8,147,85.2,124=,76
50,47,Northwestern University,United States,Americas,L,FC,VH,B,84.0,58,68.0,107,97.6,48,67.7,161,45.4,393,52.0,283,89.4,179,96.8,37,55.4,285=,76
50,45,The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,SP,VH,A,67.2,101,97.0,26,35.1,452,69.4,158,100.0,40,100.0,12,81.2,305,99.6,15,91.3,85,76
53,56,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,M,CO,VH,A,87.7,48,91.0,49,60.2,238,96.2,46,21.1,587,10.9,701+,46.8,701+,63.3,187,60.3,268,"75,7"
54,55,University of Bristol,United Kingdom,Europe,L,FC,VH,A,75.8,78,82.5,69,36.7,437,75.9,134,87.5,206,89.8,121,94.6,84,51.2,250,98.9,17,"75,4"
55,53,University of Amsterdam,Netherlands,Europe,XL,FC,VH,A,83.8,60,52.1,163,21.4,648,92.2,67,96.0,139,87.5,138,96.3,50,79.8,124,38.2,384=,"73,7"
56,76,Yonsei University,South Korea,Asia,L,FC,VH,B,81.5,67,97.0,25,84.2,112,44.1,312,20.7,590,51.2,287,78.7,343,87.8,88,88.9,103=,"72,9"
57,65,The Hong Kong Polytechnic University,Hong Kong SAR,Asia,L,CO,VH,A,68.0,99,35.6,265,65.0,204,94.9,51,100.0,39,91.9,110,78.9,338,64.5,181,77.4,173=,"72,1"
58,52,Carnegie Mellon University,United States,Americas,L,FC,VH,B,69.8,92,80.1,75,40.9,383,98.9,28,33.7,472,99.1,58,79.9,324,61.5,196,24.5,492=,72
59,54,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,A,92.2,41,86.6,59,38.5,410,50.0,262,75.1,262,37.6,374,95.5,71,66.9,173,62.2,254=,"71,6"
60,65,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,A,82.9,62,95.1,34,75.7,163,29.1,447,60.2,324,64.2,234,91.8,140,69.3,163,83.6,132=,"71,2"
61,57,Duke University,United States,Americas,L,FC,VH,B,86.0,52,74.7,86,100.0,6,35.1,382,16.3,647,61.0,243,93.3,111,85.5,99,75.0,186=,"70,8"
62,70,City University of Hong Kong,Hong Kong SAR,Asia,M,CO,VH,A,60.9,120,30.8,305,89.5,88,100.0,6,100.0,13,100.0,7,62.9,588,37.5,342,72.9,201,"70,7"
63,61,KU Leuven,Belgium,Europe,XL,FC,VH,A,84.6,55,49.6,181,7.1,701+,91.0,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,"70,3"
63,59,Sorbonne University,France,Europe,XL,FC,VH,A,87.2,49,52.0,166,43.0,363,72.3,144,33.8,471,46.7,315,99.8,4,79.7,125,87.6,111,"70,3"
65,68,The University of Auckland,New Zealand,Oceania,XL,FC,VH,A,82.2,65,44.7,205,15.5,701+,66.9,166,100.0,76,84.0,156,87.4,206,92.9,64,99.7,5,"69,7"
66,58,University of Texas at Austin,United States,Americas,XL,FC,VH,A,93.5,38,86.6,60,8.1,701+,76.7,128,6.1,701+,11.7,685,91.7,144,81.7,113,52.1,305=,"69,5"
67,79,Korea University,South Korea,Asia,L,FC,VH,B,78.2,72,93.8,40,73.0,178,45.0,308,15.2,665,45.7,321,65.7,547,89.0,81,85.2,124=,69
68,69,National Taiwan University (NTU),Taiwan,Asia,XL,FC,VH,A,93.4,39,92.1,44,25.5,583,44.3,310,16.7,644,27.4,451,71.5,459,99.9,11,90.0,94=,"68,7"
69,67,The University of Warwick,United Kingdom,Europe,L,FC,VH,A,72.2,86,86.4,61,35.5,445,37.7,367,98.1,119,99.1,57,94.2,92,65.7,175,89.7,98,"68,2"
69,64,University of Illinois at Urbana-Champaign,United States,Americas,XL,FC,VH,A,83.9,59,75.7,84,6.4,701+,77.5,124,14.0,686,56.3,266,90.4,165,81.7,114,65.0,241=,"68,2"
71,95,Universidad de Buenos Aires (UBA),Argentina,Americas,XL,FC,VH,A,94.1,35,94.1,38,71.7,183,1.6,701+,63.9,305,64.6,232,73.4,430,99.8,13,51.8,310=,"67,6"
72,62,"University of California, San Diego (UCSD)",United States,Americas,XL,FC,VH,A,89.3,45,57.8,140,50.8,304,67.0,165,54.6,342,44.3,328,95.5,70,21.7,525,44.3,348=,"67,1"
73,71,Université Paris-Saclay,France,Europe,XL,CO,VH,A,60.7,121,99.1,12,99.8,25,35.0,384,35.7,448,58.6,253,98.6,16,70.8,155,72.6,202=,67
74,73,KTH Royal Institute of Technology ,Sweden,Europe,L,FO,VH,A,45.2,186,55.6,149,62.3,225,86.1,91,92.0,175,65.9,227,91.1,155,62.4,191,94.8,58,"65,7"
75,85,Lund University,Sweden,Europe,L,FC,VH,A,68.3,96,52.5,160,55.5,271,44.6,309,97.4,124,73.4,198,96.7,48,86.5,95,99.6,8,"65,6"
76,63,University of Washington,United States,Americas,XL,FC,VH,A,81.9,66,55.5,150,28.6,542,78.8,119,11.0,701+,32.8,407,95.6,67,68.7,170,66.5,235,"65,3"
77,72,The University of Western Australia,Australia,Oceania,L,FC,VH,A,55.5,141,41.8,225,13.1,701+,98.8,30,100.0,37,99.8,40,94.2,95,78.0,128,50.8,315=,"65,2"
78,76,University of Glasgow,United Kingdom,Europe,XL,FC,VH,A,77.4,75,67.7,110,38.0,418,32.5,405,95.7,141,99.4,49,97.6,30,33.5,378,98.5,20,65
79,73,Brown University,United States,Americas,M,FC,VH,B,59.9,123,49.6,180,77.7,151,76.4,130,79.9,239,50.9,289,83.2,277,63.6,186,46.6,333,"64,7"
80,84,University of Birmingham,United Kingdom,Europe,XL,FC,VH,A,68.9,94,69.0,105,39.0,402,40.5,348,92.6,171,89.3,127,97.5,31,44.5,285,96.8,35,"64,1"
80,81,University of Southampton,United Kingdom,Europe,L,FC,VH,A,50.1,161,44.3,208,40.7,385,83.4,100,92.5,173,98.0,70,97.1,40,49.2,261,96.9,34,"64,1"
82,89,The University of Adelaide,Australia,Oceania,L,FC,VH,A,56.0,138,38.9,242,17.9,701+,87.0,86,100.0,78,99.3,53,93.6,108,51.5,246,95.7,49,"63,8"
82,75,University of Leeds,United Kingdom,Europe,XL,FC,VH,A,70.5,91,75.9,83,36.4,438,39.8,355,82.5,230,88.5,132,98.8,14,50.9,251,71.8,211=,"63,8"
84,87,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,A,76.9,76,59.4,136,99.4,32,32.7,401,54.2,346,53.6,275,94.5,88,25.2,463,77.6,170=,"63,7"
84,91,Tokyo Institute of Technology (Tokyo Tech),Japan,Asia,M,FO,VH,A,75.1,80,94.1,37,84.1,114,43.1,320,23.4,556,30.5,424,61.2,613,23.7,475,62.2,254=,"63,7"
86,80,Osaka University,Japan,Asia,L,FC,VH,A,82.4,64,87.0,58,45.2,343,54.9,232,23.9,549,12.2,675,68.2,512,33.0,387,68.0,228=,"63,5"
87,81,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,A,69.5,93,47.4,195,20.2,668,58.4,210,99.3,101,88.0,133,91.3,153,88.6,83,57.7,276=,"62,9"
88,90,University of Technology Sydney,Australia,Oceania,L,CO,VH,A,43.9,194,55.0,153,9.8,701+,97.7,39,96.6,133,86.0,145,91.4,150,40.2,318,96.3,43,"62,4"
89,78,Durham University,United Kingdom,Europe,L,FC,VH,A,59.6,126,83.9,65,26.3,567,40.9,342,97.3,125,84.9,153,89.7,172,39.4,326,98.6,19,"61,7"
89,83,Pennsylvania State University,United States,Americas,XL,FC,VH,A,76.6,77,64.5,121,25.0,592,55.4,226,25.1,533,28.0,446,97.9,28,61.9,193,96.5,37=,"61,7"
89,99,Purdue University,United States,Americas,XL,FC,VH,A,63.3,107,81.1,71,11.4,701+,54.3,235,79.6,242,45.2,325,92.9,123,63.1,188,90.1,93,"61,7"
92,85,Universidade de São Paulo,Brazil,Americas,XL,FC,VH,A,92.8,40,74.6,87,21.4,646,28.5,456,6.8,701+,2.1,701+,95.9,60,97.9,27,93.6,67,"61,6"
93,103,Pontificia Universidad Católica de Chile (UC),Chile,Americas,L,FC,VH,B,93.7,37,98.0,21,23.7,614,8.8,701+,26.0,524,3.7,701+,82.5,285,99.9,12,79.3,159=,"61,5"
94,87,Lomonosov Moscow State University,Russia,Europe,XL,FC,VH,A,78.0,73,82.3,70,99.7,30,4.1,701+,19.7,604,91.5,114,88.1,196,95.8,47,3.5,701+,"61,4"
94,93,Universidad Nacional Autónoma de México (UNAM),Mexico,Americas,XL,FC,VH,A,97.0,28,94.4,35,37.4,430,2.4,701+,7.5,701+,2.3,701+,93.2,112,93.2,62,83.4,136=,"61,4"
96,111,University of Alberta,Canada,Americas,XL,FC,VH,A,57.0,136,42.2,222,39.1,400,61.3,194,98.3,116,71.0,207,96.0,55,70.0,159,97.6,28,"61,2"
97,98,Freie Universitaet Berlin,Germany,Europe,L,FC,VH,A,80.3,71,56.9,143,5.0,701+,71.7,150,62.4,314,43.7,330,93.1,113,32.8,389,31.3,435=,"60,6"
98,100,Pohang University of Science And Technology (POSTECH),South Korea,Asia,S,FO,VH,B,45.9,178,80.0,76,99.9,24,96.9,45,27.6,511,2.7,701+,26.6,701+,11.0,701+,36.6,393=,"60,3"
99,106,RWTH Aachen University,Germany,Europe,XL,FC,VH,A,46.6,173,93.7,41,6.3,701+,71.9,149,48.6,373,85.5,149,86.1,233,33.4,379,84.8,127=,"59,9"
100,107,University of Copenhagen,Denmark,Europe,XL,FC,VH,A,74.0,83,31.6,299,99.8,27,23.1,519,84.9,221,15.6,613,98.2,22,90.8,72,73.2,198=,"59,6"
101,180,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,M,FO,VH,A,38.0,226,46.5,198,86.0,101,78.0,121,100.0,26,47.6,307,73.9,422,97.8,28,20.1,530=,"59,5"
102,119,"KIT, Karlsruhe Institute of Technology",Germany,Europe,L,CO,VH,A,44.9,188,80.9,74,39.4,395,68.4,160,70.5,282,42.9,337,86.4,225,50.8,252,75.3,184=,"59,4"
103,105,Uppsala University,Sweden,Europe,L,FC,VH,A,61.4,115,33.7,277,52.0,292,42.3,326,99.4,99,81.1,170,96.7,49,68.4,171,99.2,11=,"59,3"
104,95,University of St Andrews,United Kingdom,Europe,M,FO,VH,A,46.5,174,63.2,126,64.7,206,49.2,272,98.4,113,100.0,29,83.8,266,18.5,594,91.1,86=,"59,2"
105,104,The University of Sheffield,United Kingdom,Europe,L,FC,VH,A,58.3,132,48.7,187,52.5,290,43.9,313,83.3,228,96.8,80,95.8,62,33.8,374,97.7,24=,"59,1"
105,107,Utrecht University,Netherlands,Europe,XL,FC,VH,A,66.5,103,38.8,244,31.0,508,79.5,112,55.7,337,19.4,559,97.3,37,54.7,228,61.9,258=,"59,1"
107,113,Tohoku University,Japan,Asia,L,FC,VH,A,73.8,84,82.8,67,97.8,47,23.9,510,14.1,682,11.4,689,68.3,510,22.6,507,78.6,164=,"58,8"
108,93,Boston University,United States,Americas,L,FC,VH,B,61.9,111,69.1,104,38.3,413,41.3,336,34.3,468,88.9,130,86.9,216,77.2,132,65.9,236=,"58,6"
108,100,University of Nottingham,United Kingdom,Europe,XL,FC,VH,A,61.1,117,65.8,116,32.8,481,37.6,368,89.4,194,70.5,208,98.0,25,38.0,339,97.0,33,"58,5"
109,121,Technical University of Denmark,Denmark,Europe,M,FO,VH,A,33.2,265,22.1,421,99.1,34,84.4,98,100.0,55,87.7,135,88.1,194,43.6,293,47.9,328,"58,3"
109,91,University of Zurich,Switzerland,Europe,L,FO,VH,A,59.9,124,26.4,361,92.2,78,40.1,352,100.0,71,42.8,338,94.3,90,88.6,84,58.7,273=,"58,3"
111,123,Politecnico di Milano,Italy,Europe,XL,FO,VH,A,70.8,90,77.0,82,5.8,701+,40.2,351,67.4,292,56.8,262,88.1,197,52.9,239,72.6,202=,"58,2"
113,109,Aalto University,Finland,Europe,L,FO,VH,A,45.7,180,40.6,231,33.2,476,73.6,141,95.2,146,40.1,354,78.2,355,95.1,52,94.7,59,"57,9"
114,97,Georgia Institute of Technology,United States,Americas,XL,CO,VH,A,67.1,102,82.6,68,20.3,665,52.8,243,21.3,584,66.4,224,75.5,397,43.1,298,39.5,371=,"57,3"
115,112,University of Waterloo,Canada,Americas,XL,CO,VH,A,40.4,211,64.2,124,6.5,701+,78.9,118,75.8,257,71.3,206,84.6,256,58.9,209,93.3,68=,"57,2"
116,102,University of Wisconsin-Madison,United States,Americas,XL,FC,VH,A,77.7,74,47.8,193,74.3,170,23.7,513,35.3,454,23.6,498,91.6,149,81.6,116,59.6,269=,"57,1"
117,115,University of Helsinki,Finland,Europe,L,CO,VH,A,62.3,110,29.1,324,59.4,246,49.6,267,73.4,272,5.7,701+,96.9,43,90.5,74,94.5,60,"56,8"
118,149,Indian Institute of Technology Bombay (IITB),India,Asia,L,FO,VH,A,58.5,131,86.0,63,14.4,701+,79.1,116,4.3,701+,1.3,701+,52.3,701+,64.5,182,52.5,302=,"56,3"
119,117,University of Oslo,Norway,Europe,L,FC,VH,A,55.6,139,16.0,534,73.8,175,55.7,225,91.6,180,31.7,416,97.3,35,80.9,121,72.1,208=,"56,1"
120,145,Queen Mary University of London,United Kingdom,Europe,L,FC,VH,A,48.3,170,36.9,254,30.4,515,62.8,184,99.5,96,99.2,54,92.5,127,21.4,534,95.6,54,"55,8"
120,114,Western University,Canada,Americas,XL,FC,VH,A,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,"55,8"
122,173,Qatar University,Qatar,Asia,M,FC,VH,A,29.8,297,50.6,175,68.1,191,48.2,277,100.0,24,96.5,83,89.4,177,98.6,20,74.0,196,"55,7"
123,140,RMIT University,Australia,Oceania,XL,CO,VH,A,40.4,210,48.0,192,5.2,701+,77.7,122,100.0,45,91.4,116,83.2,276,38.4,334,93.9,62=,"55,5"
123,145,Sungkyunkwan University(SKKU),South Korea,Asia,L,FC,VH,B,57.9,134,70.7,100,80.5,131,41.3,338,17.5,632,41.7,341,54.2,701+,36.5,348,79.1,161=,"55,5"
125,116,University of Southern California,United States,Americas,XL,FC,VH,B,50.4,160,54.5,156,17.3,701+,58.0,211,26.0,523,74.1,192,85.8,235,92.6,66,97.7,24=,"55,2"
126,120,Humboldt-Universität zu Berlin,Germany,Europe,XL,FC,VH,A,89.2,46,69.9,102,7.4,701+,27.0,476,69.1,288,35.1,391,93.1,114,19.0,580,19.9,535=,55
126,171,University College Dublin,Ireland,Europe,L,FC,VH,A,51.4,158,43.5,210,16.6,701+,46.4,298,99.1,105,74.8,188,87.2,212,89.8,77,95.6,50=,55
128,118,Stockholm University,Sweden,Europe,L,CO,VH,A,52.5,155,21.0,436,26.7,563,64.5,174,80.7,235,89.8,122,95.7,65,86.6,94,58.7,273=,"54,8"
129,110,Newcastle University,United Kingdom,Europe,L,FC,VH,A,50.0,164,59.3,137,39.2,399,38.7,362,89.5,193,68.6,217,97.1,42,31.3,403,97.1,30=,"54,5"
130,118,"University of California, Davis",United States,Americas,XL,FC,VH,A,63.0,109,48.0,191,23.5,617,52.5,246,72.7,275,51.3,286,90.6,163,22.8,501,76.1,178=,"54,4"
131,124,University of Basel,Switzerland,Europe,M,FC,VH,A,26.6,331,13.5,601+,61.4,232,94.5,53,100.0,44,85.8,147,89.4,176,69.9,160,44.6,343=,"54,3"
132,134,Sapienza University of Rome,Italy,Europe,XL,FC,VH,A,80.7,70,48.5,189,5.0,701+,45.3,305,3.1,701+,8.0,701+,97.1,41,88.0,87,72.3,205=,"54,2"
133,154,Alma Mater Studiorum - University of Bologna,Italy,Europe,XL,FC,VH,A,80.8,69,47.8,194,3.7,701+,46.6,296,14.5,672,12.3,672,96.0,56,53.8,232,88.4,108,"54,1"
133,130,Macquarie University,Australia,Oceania,L,FC,VH,A,33.4,262,39.2,241,9.1,701+,79.6,111,99.9,88,91.6,112,90.9,157,54.1,231,95.0,57,"54,1"
133,137,University of Science and Technology of China,China (Mainland),Asia,L,CO,VH,A,50.0,162,23.7,402,94.7,63,97.7,38,11.6,701+,5.1,701+,75.7,393,31.9,395,11.9,622,"54,1"
136,124,Eindhoven University of Technology,Netherlands,Europe,M,FO,VH,A,28.7,306,72.1,96,35.7,442,79.3,114,100.0,75,82.7,164,70.8,472,24.2,468,29.8,445=,54
137,130,University of Vienna,Austria,Europe,XL,FC,VH,A,70.9,89,40.4,235,23.2,619,13.0,667,100.0,70,92.0,109,96.0,57,89.7,78,60.9,265,"53,9"
138,159,Universiti Kebangsaan Malaysia (UKM),Malaysia,Asia,L,FC,VH,A,61.7,113,66.4,114,80.4,132,14.1,651,45.7,392,78.8,175,83.7,269,22.5,510,64.4,243=,"53,8"
139,129,Chalmers University of Technology,Sweden,Europe,M,FO,VH,B,26.3,338,50.4,177,50.5,306,77.4,125,100.0,56,63.1,240,77.0,378,31.7,399,87.0,113,"53,7"
139,159,Universidad de Chile,Chile,Americas,XL,FC,VH,A,82.8,63,90.0,52,8.0,701+,11.2,701+,8.5,701+,4.5,701+,77.1,377,96.1,42,64.1,245=,"53,7"
141,122,Lancaster University,United Kingdom,Europe,L,FC,VH,A,38.9,222,36.7,255,27.7,551,69.6,157,93.3,166,92.3,105,89.7,171,28.8,431,96.2,44=,"53,6"
141,126,Leiden University,Netherlands,Europe,XL,FC,VH,A,68.4,95,32.9,288,21.3,649,54.5,234,85.0,220,51.7,284,95.2,72,48.8,263,25.5,488=,"53,6"
141,145,Rice University,United States,Americas,M,CO,VH,B,39.1,220,27.3,350,62.5,222,87.9,83,77.5,247,94.1,99,62.2,602,29.5,421,20.6,529,"53,6"
144,143,Aarhus University,Denmark,Europe,L,FC,VH,A,54.7,144,27.6,349,30.8,509,63.8,177,89.8,192,11.9,682,96.1,54,69.5,162,76.4,176=,"53,3"
145,141,Nanjing University,China (Mainland),Asia,XL,FC,VH,A,57.1,135,32.5,290,35.6,443,93.0,63,61.9,317,7.6,701+,67.1,520,29.0,430,16.5,567=,53
146,137,Universiti Sains Malaysia (USM),Malaysia,Asia,L,FC,VH,A,63.3,106,69.7,103,46.4,331,19.6,560,24.3,545,96.4,87,87.8,200,20.1,561,71.2,214=,"52,7"
